uuid,albedo,azimuth,cos_phi_rated,elevation_angle,eta_conv,id,k_g,k_t,market_reaction,node,operates_from,operates_until,operator,q_characteristics,s_rated
bc591c2a-c0b4-43f2-b322-dc8e90b28a19,0.20000000298023224,-8.999500274658203,0.8999999761581421,37.14517593383789,98.0,NS_NET146_F2_(12)_PV,0.8999999761581421,1.0,false,59f8dd80-389a-4d34-b007-4bacac4c43dd,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
f7e2c22e-3800-4b90-9664-55b818b50a4c,0.20000000298023224,-14.803051948547363,0.8999999761581421,42.391395568847656,96.0,NS_NET146_F4_(12)_PV,0.8999999761581421,1.0,false,597a6377-bb1d-4787-98fc-759563bba5f2,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
3fda2237-4726-4937-b54e-9b1acad3d8cd,0.20000000298023224,3.925752878189087,0.8999999761581421,32.65638732910156,97.0,NS_NET146_F3_(12)_PV,0.8999999761581421,1.0,false,0fb47088-35cd-47d8-b2bc-be17791c43aa,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
25feb311-15e5-4d8a-9cb5-a8585cb72306,0.20000000298023224,4.901591777801514,0.8999999761581421,42.587581634521484,98.0,NS_NET146_F3_(7)_PV,0.8999999761581421,1.0,false,0b13ed57-9cdc-48d3-b7cc-afa9f8a13405,,,,"cosPhiFixed:{(0.0,0.9)}",30.0
534d24ec-b9f3-4e80-8609-4abfdbd4442f,0.20000000298023224,-0.8097801208496094,0.8999999761581421,41.69758605957031,96.0,NS_NET146_F1_(18)_PV,0.8999999761581421,1.0,false,0e8a5aaf-64ea-474d-9300-f82ff62450ba,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
59d1ae02-e673-48a1-b259-c3c87ff3e28e,0.20000000298023224,5.255863666534424,0.8999999761581421,36.56882858276367,97.0,NS_NET146_F3_(32)_PV,0.8999999761581421,1.0,false,82739f3a-976a-4f36-9739-203d3f953e8c,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
57569c36-5c09-42c2-b47b-5033596961c0,0.20000000298023224,-1.5687041282653809,0.8999999761581421,43.37920379638672,96.0,NS_NET146_F1_(2000)_PV,0.8999999761581421,1.0,false,df182a9b-d76f-4242-ab76-c4c2df62b77a,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
d7143eb5-dcf2-48c0-90c3-17de478cfa98,0.20000000298023224,-6.537350177764893,0.8999999761581421,33.695167541503906,98.0,NS_NET146_F1_(4)_PV,0.8999999761581421,1.0,false,025ec16a-0a1d-4ee2-8058-01e688a80a68,,,,"cosPhiFixed:{(0.0,0.9)}",10.0
3dec20ed-b5b5-41ae-8f17-f6fd5bf05b56,0.20000000298023224,9.723748207092285,0.8999999761581421,51.525978088378906,98.0,NS_NET146_F2_(27)_PV,0.8999999761581421,1.0,false,1fcd94a3-d981-4d07-8e3e-a42b2af768ac,,,,"cosPhiFixed:{(0.0,0.9)}",30.0
bad12c78-c640-41f6-a887-7ce19efc60b5,0.20000000298023224,-13.216256141662598,0.800000011920929,35.950138092041016,98.0,MS3_EEG_01,0.8999999761581421,1.0,false,ca87fe7c-9cfb-4087-bc22-8e40bb2725c4,,,,"cosPhiFixed:{(0.0,0.8)}",1000.0
