uuid,cos_phi_rated,dsm,e_cons_annual,id,load_profile,node,operates_from,operates_until,operator,q_characteristics,s_rated
c3434742-e4f0-49e5-baa7-c1e3045c732c,0.9700000286102295,false,4000.0,NS_NET116_L_S1_5(1),h0,92301422-94ae-48ab-89c7-a69eea9450b2,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
40ddb9cf-46f1-4ee6-8feb-432affbc95bf,0.9700000286102295,false,4000.0,NS_NET116_L_S2_4(1),h0,e05c68b1-11cd-43fd-a4b2-31e4db380c78,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
a1af0e38-339c-491c-94d8-446cf662d89b,0.9700000286102295,false,4000.0,NS_NET116_L_S3_4(1),h0,36dccefc-f04c-493f-bb88-11343583bf9f,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
4642d648-b0dd-4597-a3bd-2cc1fce74f27,0.9700000286102295,false,4000.0,NS_NET116_L_S3_1(1),h0,4a6f6058-e654-464d-9367-2dca7185c6d7,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
ff0b995a-86ff-4f4d-987e-e475a64f2180,0.9700000286102295,false,4000.0,NS_NET116_L_S1_2(1),h0,3e21f3a1-2c9c-4138-bcc9-466b004609ed,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
2efedcfd-4972-4d13-9d62-180f1b9a76ad,0.9700000286102295,false,4000.0,NS_NET116_L_S2_5(1),h0,32bd37df-255b-4eb2-9d16-5b711132eee6,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
fd1a8de9-722a-4304-8799-e1e976d9979c,0.9700000286102295,false,4000.0,NS_NET116_L_S1_1(1),h0,8a50fb37-81cf-47c9-8850-a12b4391e2e7,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
f4536a0c-33d2-4c57-918c-0ebdf768265a,0.9700000286102295,false,4000.0,NS_NET116_L_S3_3(1),h0,d69efff2-ba8b-4aa6-a4a1-27267964147a,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
7b040b43-011a-4402-a176-9b9b41ce0c37,0.9700000286102295,false,4000.0,NS_NET116_L_S2_3(1),h0,df9c3d91-41a0-4e49-bb1f-1cd2a8fd9a2e,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
11e776fa-ecc1-4332-821f-d7e56758b988,0.9700000286102295,false,4000.0,NS_NET116_L_S2_2(1),h0,d53ff076-dadd-44f8-85d4-68f48991f7d0,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
98c1a2ab-bd09-4c77-a389-d088aed894b1,0.9700000286102295,false,4000.0,NS_NET116_L_S3_2(1),h0,550ebca7-1455-44eb-9431-ffbf08e58bd4,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
fd2e19b6-d5e3-4776-9456-8787a2160d9d,0.9700000286102295,false,4000.0,NS_NET116_L_S1_4(1),h0,b3a7431d-89b0-41cb-87a9-5853890796cd,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
a12570e4-afeb-4af8-a86c-9e804eea4886,0.9700000286102295,false,4000.0,NS_NET116_L_S3_5(1),h0,b9a28095-68f7-44c1-9ccc-6efc5ea84c59,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
70fcdefd-49c1-455f-9ceb-013dcbf26887,0.9700000286102295,false,4000.0,NS_NET116_L_S1_3(1),h0,e4c8b492-965c-4b5a-8d14-e8ff2c027ce9,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
2a9149a4-4778-41d8-8865-090499833016,0.9700000286102295,false,4000.0,NS_NET116_L_S2_1(1),h0,39112046-8953-4e73-a5d9-6a8183a77436,,,,"cosPhiFixed:{(0.0,1.0)}",4.1237101554870605
